year,state,type,runoff,office,name,party,inc,w_g,vote_g,nextup
2022,MA,G,NA,G,"REED, KEVIN",Lbt,0,0,39244,2026
2022,MI,G,NA,G,"WHITMER, GRETCHEN",D,1,1,2430505,2026
2022,MI,G,NA,G,"DIXON, TUDOR M.",R,0,0,1960635,2026
2022,MI,G,NA,G,"BUZUMA, MARY",Lbt,0,0,38800,2026
2022,MI,G,NA,G,"BRANDENBURG, DONNA",US Taxpayers,0,0,16246,2026
2022,MI,G,NA,G,"HOGAN, KEVIN",Green,0,0,10766,2026
2022,MI,G,NA,G,"SIMPSON, DARYL M.",Natural Law,0,0,4973,2026
2022,MN,G,NA,G,"WALZ, TIMOTHY J. (TIM)",DFL,1,1,1312349,2026
2022,MN,G,NA,G,"JENSEN, SCOTT",R,0,0,1119941,2026
2022,MN,G,NA,G,"PATTERSON, STEVE",Legalize Cannabis,0,0,22599,2026
2022,MN,G,NA,G,"MCCASKEL, JAMES",Legalize Marijuana Now,0,0,29346,2026
2022,MN,G,NA,G,"MCTAVISH, HUGH",Independence-Alliance,0,0,18156,2026
2022,MN,G,NA,G,"PROSSER, GABRIELLE M.",Socialist Workers,0,0,7241,2026
2022,NE,G,NA,G,"PILLEN, JAMES DOUGLAS (JIM)",R,0,1,393334,2026
2022,NE,G,NA,G,"BLOOD, CAROL",D,0,0,242006,2026
2022,NE,G,NA,G,"ZIMMERMAN, SCOTT",Lbt,0,0,26455,2026
2022,NV,G,NA,G,"LOMBARDO, JOSEPH MICHAEL (JOE)",R,0,1,497377,2026
2022,NV,G,NA,G,"SISOLAK, STEVE",D,1,0,481991,2026
2022,NH,G,NA,G,"SUNUNU, CHRISTOPHER T. (CHRIS)",R,1,1,352813,2024
2022,NH,G,NA,G,"SHERMAN, TOM",D,0,0,256766,2024
2022,NH,G,NA,G,"BORYSENKO, KARLYN",Lbt,0,0,2772,2024
2022,NH,G,NA,G,"HALLDORSON, KELLY",Lbt,0,0,5071,2024
2022,NM,G,NA,G,"GRISHAM, MICHELLE LUJAN",D,1,1,370168,2026
2022,NM,G,NA,G,"RONCHETTI, MARK V.",R,0,0,324701,2026
2022,NM,G,NA,G,"BEDONIE, KAREN EVETTE",Lbt,0,0,17387,2026
2022,NY,G,NA,G,"HOCHUL, KATHLEEN COURTNEY (KATHY)",D,3,1,2879092,2026
2022,NY,G,NA,G,"HOCHUL, KATHLEEN COURTNEY (KATHY)",Wk Fam,3,1,261323,2026
2022,NY,G,NA,G,"ZELDIN, LEE M.",R,0,0,2449394,2026
2022,NY,G,NA,G,"ZELDIN, LEE M.",CRV,0,0,313187,2026
2022,OH,G,NA,G,"DEWINE, MICHAEL (MIKE)",R,1,1,2580424,2026
2022,OH,G,NA,G,"WHALEY, NAN",D,0,0,1545489,2026
2022,OK,G,NA,G,"BRUNO, NATALIE",Lbt,0,0,16243,2026
