year,state,party,name,inc,party_formal,candidatevotes
2008,NV,R,"MCCAIN, JOHN S.",0,R,412827
2008,NY,D,"OBAMA, BARACK",0,"D, Working Families",4804945
2008,NY,Lbt,"BARR, BOB",0,Lbt,19596
2008,NY,Other,"HARRIS, JAMES",0,Socialist Workers,3615
2008,NY,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1639
2008,NY,Other,"MCCAIN, JOHN S.",0,Independence,163973
2008,NY,Other,"MCKINNEY, CYNTHIA",0,Grn,12801
2008,NY,Other,"NADER, RALPH",0,Populist,41249
2008,NY,R,"MCCAIN, JOHN S.",0,"R, Conservative",2588798
2008,OH,D,"OBAMA, BARACK",0,D,2940044
2008,OH,Lbt,"BARR, BOB",0,Lbt,19917
2008,OH,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,12565
2008,OH,Other,"MCKINNEY, CYNTHIA",0,Grn,8518
2008,OH,Other,"MOORE, BRIAN",0,Socialist,2735
2008,OH,Other,"NADER, RALPH",0,Independent,46242
2008,OH,R,"MCCAIN, JOHN S.",0,R,2677820
2008,OK,D,"OBAMA, BARACK",0,D,502496
2008,OK,R,"MCCAIN, JOHN S.",0,R,960165
2008,OR,D,"OBAMA, BARACK",0,D,1037291
2008,OR,Lbt,NA,0,Lbt,7635
2008,OR,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,7693
2008,OR,Other,"MCKINNEY, CYNTHIA",0,Grn,4543
2008,OR,Other,"NADER, RALPH",0,Peace Party,18614
2008,OR,R,"MCCAIN, JOHN S.",0,R,738475
2008,PA,D,"OBAMA, BARACK",0,D,3276363
2008,PA,Lbt,"BARR, BOB",0,Lbt,19912
2008,PA,Other,"NADER, RALPH",0,Independent,42977
2008,PA,R,"MCCAIN, JOHN S.",0,R,2655885
2008,RI,D,"OBAMA, BARACK",0,D,296571
2008,RI,Lbt,"BARR, BOB",0,Lbt,1382
2008,RI,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,675
2008,RI,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,122
2008,RI,Other,"MCKINNEY, CYNTHIA",0,Grn,797
2008,RI,Other,"NADER, RALPH",0,Independent,4829
2008,RI,R,"MCCAIN, JOHN S.",0,R,165391
2008,SC,D,"OBAMA, BARACK",0,D,862449
2008,SC,Lbt,"BARR, BOB",0,Lbt,7283
2008,SC,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,6827
2008,SC,Other,"MCKINNEY, CYNTHIA",0,Grn,4461
2008,SC,Other,"NADER, RALPH",0,Independent,5053
2008,SC,R,"MCCAIN, JOHN S.",0,R,1034896
2008,SD,D,"OBAMA, BARACK",0,D,170924
2008,SD,Lbt,"BARR, BOB",0,Lbt,1835
2008,SD,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,1895
2008,SD,Other,"NADER, RALPH",0,Independent,4267
2008,SD,R,"MCCAIN, JOHN S.",0,R,203054
2008,TN,D,"OBAMA, BARACK",0,D,1087437
2008,TN,Other,NA,0,Independent,33134
2008,TN,R,"MCCAIN, JOHN S.",0,R,1479178
2008,TX,D,"OBAMA, BARACK",0,D,3528633
2008,TX,Lbt,"BARR, BOB",0,Lbt,56116
2008,TX,R,"MCCAIN, JOHN S.",0,R,4479328
2008,UT,D,"OBAMA, BARACK",0,D,327670
2008,UT,Lbt,"BARR, BOB",0,Lbt,6966
2008,UT,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,12012
2008,UT,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,262
2008,UT,Other,"MCKINNEY, CYNTHIA",0,Grn,982
2008,UT,Other,"NADER, RALPH",0,Peace & Freedom,8416
2008,UT,R,"MCCAIN, JOHN S.",0,R,596030
2008,VA,D,"OBAMA, BARACK",0,D,1959532
2008,VA,Lbt,"BARR, BOB",0,Lbt,11067
2008,VA,Other,"BALDWIN, CHARLES (CHUCK)",0,Independent Green,7474
2008,VA,Other,"MCKINNEY, CYNTHIA",0,Grn,2344
2008,VA,Other,"NADER, RALPH",0,Independent,11483
2008,VA,R,"MCCAIN, JOHN S.",0,R,1725005
